P_No,Title,URL
1,"
CEED 2018 Exam Date Announced; Registrations to Start from October 9, 2018!
",/web/20180118012754/http://www.htcampus.com:80/article/ceed-exam-date-designing-entrance-exam/
1,"
UCEED 2018 Application Process
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-application-process/
1,"
NIFT 2018 Result: Check Result in Feb/March 2018
",/web/20180118012754/http://www.htcampus.com:80/article/nift-result-check-result-feb-march/
1,"
NIFT 2018 Admit Card: How to Download Admit Card!
",/web/20180118012754/http://www.htcampus.com:80/article/nift-admit-cards-download-here/
1,"
NIFT 2018: Application, Admit Card, Result and Counseling Dates!
",/web/20180118012754/http://www.htcampus.com:80/article/nift-exam/
1,"
UCEED 2018 Exam Important Dates Released, Check Schedule Here!
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-exam-dates/
1,"
UCEED 2018 Eligibility Criteria
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-eligibility-criteria/
1,"
CEED Result 2018
",/web/20180118012754/http://www.htcampus.com:80/article/ceed-result-merit-list-admission-designing-iit-bomaby/
1,"
Top Private Colleges in India
",/web/20180118012754/http://www.htcampus.com:80/article/top-private-colleges-india/
1,"
Director�s Speak: Diana Marian Murek, Istituto Marangoni
",/web/20180118012754/http://www.htcampus.com:80/article/diana-marian-murek-istituto-marangoni-interview/
1,"
UCEED 2018 Admit Card
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-admit-card/
1,"
UCEED 2018 Exam Centres
",/web/20180118012754/http://www.htcampus.com:80/article/uceed-exam-centres/
2,"
UPSEE Rank Predictor: Predict Your UPSEEE Rank!
",/web/20170712005531/http://www.htcampus.com/article/upsee-rank-predictor/
2,"
Indian Institute of Art and Design (IIAD) Admissions 2017
",/web/20170712005531/http://www.htcampus.com/article/indian-institute-art-and-design-iiad-admissions-applications-form/
2,"
UCEED 2018 Cut Off
",/web/20170712005531/http://www.htcampus.com/article/uceed-cut-off/
2,"
UCEED 2018 Counselling
",/web/20170712005531/http://www.htcampus.com/article/uceed-counselling/
2,"
Colleges Accepting Scores of UCEED 2018
",/web/20170712005531/http://www.htcampus.com/article/colleges-accepting-scores-uceed/
2,"
UCEED 2018 Results
",/web/20170712005531/http://www.htcampus.com/article/uceed-results/
2,"
UCEED 2018 Exam Important Dates
",/web/20170712005531/http://www.htcampus.com/article/uceed-exam-dates/
2,"
UCEED 2018 Application Process 
",/web/20170712005531/http://www.htcampus.com/article/uceed-application-process/
2,"
UCEED 2018 Eligibility Criteria
",/web/20170712005531/http://www.htcampus.com/article/uceed-eligibility-criteria/
2,"
UCEED 2018 Syllabus
",/web/20170712005531/http://www.htcampus.com/article/uceed-syllabus/
2,"
UCEED 2018 Exam Pattern
",/web/20170712005531/http://www.htcampus.com/article/uceed-exam-pattern/
